class_id,train_support,test_support,support_tier,top1_accuracy,recall
5240,538,143,mid,0.972027972027972,0.972027972027972
5241,537,143,mid,0.993006993006993,0.993006993006993
5242,216,60,mid,0.9833333333333333,0.9833333333333333
5243,216,60,mid,0.9833333333333333,0.9833333333333333
5244,216,60,mid,1.0,1.0
5245,216,60,mid,1.0,1.0
5246,214,60,tail,0.9833333333333333,0.9833333333333333
5247,216,59,mid,0.9830508474576272,0.9830508474576272
5248,215,60,tail,0.9833333333333333,0.9833333333333333
5249,541,145,head,0.8758620689655172,0.8758620689655172
5250,215,60,tail,1.0,1.0
5251,216,60,mid,0.9833333333333333,0.9833333333333333
5252,216,60,mid,1.0,1.0
5253,530,140,mid,0.9857142857142858,0.9857142857142858
5254,546,143,head,0.965034965034965,0.965034965034965
5255,216,60,mid,0.9833333333333333,0.9833333333333333
5256,316,84,mid,0.9523809523809523,0.9523809523809523
5257,215,60,tail,1.0,1.0
5258,538,143,mid,0.9090909090909091,0.9090909090909091
5259,216,59,mid,1.0,1.0
5260,216,60,mid,1.0,1.0
5261,216,59,mid,1.0,1.0
5262,538,144,mid,0.9652777777777778,0.9652777777777778
5263,216,60,mid,1.0,1.0
5264,539,142,mid,0.9788732394366197,0.9788732394366197
5265,214,60,tail,0.9333333333333333,0.9333333333333333
5266,216,58,mid,0.9827586206896551,0.9827586206896551
5267,216,59,mid,1.0,1.0
5268,215,60,tail,1.0,1.0
5269,540,143,head,0.965034965034965,0.965034965034965
5270,543,142,head,0.971830985915493,0.971830985915493
5271,535,142,mid,0.9859154929577465,0.9859154929577465
5272,216,58,mid,1.0,1.0
5273,537,142,mid,0.9859154929577465,0.9859154929577465
5274,216,60,mid,1.0,1.0
5275,216,59,mid,1.0,1.0
5276,533,139,mid,0.9928057553956835,0.9928057553956835
5277,541,141,head,0.9716312056737588,0.9716312056737588
5278,540,145,head,0.9655172413793104,0.9655172413793104
5279,216,59,mid,1.0,1.0
5280,216,59,mid,0.9830508474576272,0.9830508474576272
5281,533,141,mid,0.9645390070921985,0.9645390070921985
5282,216,60,mid,0.9666666666666667,0.9666666666666667
5283,216,59,mid,1.0,1.0
5284,215,60,tail,1.0,1.0
5285,216,60,mid,1.0,1.0
5286,538,143,mid,0.986013986013986,0.986013986013986
5287,216,60,mid,0.9833333333333333,0.9833333333333333
5288,210,60,tail,0.9666666666666667,0.9666666666666667
5289,538,143,mid,0.986013986013986,0.986013986013986
5290,539,142,mid,0.9859154929577465,0.9859154929577465
5291,534,141,mid,0.9716312056737588,0.9716312056737588
5292,538,142,mid,0.9647887323943662,0.9647887323943662
5293,215,60,tail,0.9833333333333333,0.9833333333333333
5294,540,143,head,0.9790209790209791,0.9790209790209791
5295,542,144,head,0.9861111111111112,0.9861111111111112
5296,216,59,mid,1.0,1.0
5297,542,144,head,0.9861111111111112,0.9861111111111112
5298,216,60,mid,0.9833333333333333,0.9833333333333333
5299,216,59,mid,0.9830508474576272,0.9830508474576272
5300,532,142,mid,0.9859154929577465,0.9859154929577465
5301,540,143,head,0.958041958041958,0.958041958041958
5302,213,59,tail,1.0,1.0
5303,216,60,mid,0.9333333333333333,0.9333333333333333
5304,213,60,tail,0.9333333333333333,0.9333333333333333
5305,536,143,mid,0.965034965034965,0.965034965034965
5306,534,143,mid,0.986013986013986,0.986013986013986
5307,215,59,tail,1.0,1.0
5308,540,144,head,0.9861111111111112,0.9861111111111112
5309,541,144,head,0.9930555555555556,0.9930555555555556
5310,536,143,mid,0.9790209790209791,0.9790209790209791
5311,539,143,mid,0.9440559440559441,0.9440559440559441
5312,214,60,tail,1.0,1.0
5313,536,140,mid,0.9571428571428572,0.9571428571428572
5314,210,59,tail,1.0,1.0
5315,317,83,mid,0.9759036144578314,0.9759036144578314
5316,543,143,head,0.993006993006993,0.993006993006993
5317,540,141,head,0.9716312056737588,0.9716312056737588
5318,215,59,tail,0.9830508474576272,0.9830508474576272
5319,316,82,mid,0.9146341463414634,0.9146341463414634
5320,542,144,head,0.9930555555555556,0.9930555555555556
5321,215,58,tail,1.0,1.0
5322,216,60,mid,1.0,1.0
5323,214,59,tail,1.0,1.0
5324,316,83,mid,0.9518072289156626,0.9518072289156626
5325,214,60,tail,1.0,1.0
5326,315,83,mid,0.927710843373494,0.927710843373494
5327,216,60,mid,0.95,0.95
5328,214,60,tail,0.9833333333333333,0.9833333333333333
5329,214,60,tail,0.9833333333333333,0.9833333333333333
5330,214,60,tail,1.0,1.0
5331,213,58,tail,0.9655172413793104,0.9655172413793104
5332,210,60,tail,1.0,1.0
5333,536,144,mid,0.9097222222222222,0.9097222222222222
5334,214,59,tail,0.9830508474576272,0.9830508474576272
5335,539,144,mid,0.9513888888888888,0.9513888888888888
5336,537,144,mid,0.9583333333333334,0.9583333333333334
5337,315,83,mid,0.9759036144578314,0.9759036144578314
5338,540,141,head,0.9574468085106383,0.9574468085106383
5339,541,142,head,0.9859154929577465,0.9859154929577465
5340,215,59,tail,1.0,1.0
5341,214,59,tail,0.9830508474576272,0.9830508474576272
5342,211,60,tail,0.9833333333333333,0.9833333333333333
5343,214,60,tail,0.95,0.95
5344,540,143,head,0.986013986013986,0.986013986013986
5345,216,60,mid,0.9833333333333333,0.9833333333333333
5346,541,142,head,0.9436619718309859,0.9436619718309859
5347,541,143,head,0.972027972027972,0.972027972027972
5348,215,60,tail,1.0,1.0
5349,209,56,tail,0.8928571428571429,0.8928571428571429
5350,537,141,mid,0.950354609929078,0.950354609929078
5351,215,60,tail,0.9833333333333333,0.9833333333333333
5352,215,60,tail,0.9833333333333333,0.9833333333333333
5353,539,143,mid,0.972027972027972,0.972027972027972
5354,541,145,head,0.9655172413793104,0.9655172413793104
5355,215,60,tail,0.9833333333333333,0.9833333333333333
5356,215,60,tail,0.95,0.95
5357,214,60,tail,1.0,1.0
5358,215,60,tail,1.0,1.0
5359,214,60,tail,0.9333333333333333,0.9333333333333333
5360,543,144,head,0.9930555555555556,0.9930555555555556
5361,541,142,head,0.9859154929577465,0.9859154929577465
5362,539,143,mid,0.972027972027972,0.972027972027972
5363,540,140,head,0.9428571428571428,0.9428571428571428
5364,211,60,tail,1.0,1.0
5365,213,60,tail,0.9833333333333333,0.9833333333333333
5366,316,83,mid,0.927710843373494,0.927710843373494
5367,215,60,tail,0.9833333333333333,0.9833333333333333
5368,216,60,mid,1.0,1.0
5369,216,60,mid,0.9666666666666667,0.9666666666666667
5370,216,59,mid,0.9661016949152542,0.9661016949152542
5371,532,141,mid,0.9574468085106383,0.9574468085106383
5372,314,83,mid,0.7951807228915663,0.7951807228915663
5373,539,140,mid,0.9785714285714285,0.9785714285714285
5374,540,143,head,0.965034965034965,0.965034965034965
5375,541,144,head,0.9861111111111112,0.9861111111111112
5376,216,60,mid,0.9833333333333333,0.9833333333333333
5377,538,144,mid,0.9513888888888888,0.9513888888888888
5378,215,60,tail,0.9833333333333333,0.9833333333333333
5379,539,144,mid,0.9861111111111112,0.9861111111111112
5380,216,59,mid,1.0,1.0
5381,215,60,tail,1.0,1.0
5382,215,60,tail,1.0,1.0
5383,215,60,tail,0.9666666666666667,0.9666666666666667
5384,215,60,tail,0.9833333333333333,0.9833333333333333
5385,215,60,tail,0.95,0.95
5386,216,60,mid,1.0,1.0
5387,214,60,tail,1.0,1.0
5388,316,83,mid,0.891566265060241,0.891566265060241
5389,216,60,mid,1.0,1.0
5390,214,60,tail,1.0,1.0
5391,541,141,head,0.9929078014184397,0.9929078014184397
5392,214,60,tail,0.9833333333333333,0.9833333333333333
5393,542,143,head,0.9090909090909091,0.9090909090909091
5394,317,83,mid,0.963855421686747,0.963855421686747
5395,537,144,mid,0.9027777777777778,0.9027777777777778
5396,216,59,mid,1.0,1.0
5397,538,142,mid,0.971830985915493,0.971830985915493
5398,316,83,mid,0.8795180722891566,0.8795180722891566
5399,316,83,mid,0.9036144578313253,0.9036144578313253
5400,214,60,tail,1.0,1.0
5401,215,60,tail,0.9833333333333333,0.9833333333333333
5402,215,59,tail,0.9830508474576272,0.9830508474576272
5403,215,59,tail,0.9830508474576272,0.9830508474576272
5404,214,60,tail,0.9666666666666667,0.9666666666666667
5405,540,141,head,0.9929078014184397,0.9929078014184397
5406,542,140,head,0.9785714285714285,0.9785714285714285
5407,215,59,tail,0.9830508474576272,0.9830508474576272
5408,216,59,mid,1.0,1.0
5409,215,59,tail,0.9830508474576272,0.9830508474576272
5410,215,59,tail,1.0,1.0
5411,212,59,tail,0.9830508474576272,0.9830508474576272
5412,315,83,mid,0.963855421686747,0.963855421686747
5413,215,60,tail,1.0,1.0
5414,214,59,tail,0.9830508474576272,0.9830508474576272
5415,216,60,mid,1.0,1.0
5416,537,142,mid,1.0,1.0
5417,215,60,tail,1.0,1.0
5418,215,60,tail,0.9833333333333333,0.9833333333333333
5419,532,142,mid,0.9788732394366197,0.9788732394366197
5420,216,59,mid,1.0,1.0
5421,216,59,mid,0.9661016949152542,0.9661016949152542
5422,216,60,mid,1.0,1.0
5423,216,60,mid,0.9833333333333333,0.9833333333333333
5424,216,60,mid,1.0,1.0
5425,216,60,mid,0.9666666666666667,0.9666666666666667
5426,216,60,mid,0.9666666666666667,0.9666666666666667
5427,214,60,tail,0.9833333333333333,0.9833333333333333
5428,216,60,mid,0.9833333333333333,0.9833333333333333
5429,538,143,mid,0.972027972027972,0.972027972027972
5430,215,60,tail,1.0,1.0
5431,313,81,mid,0.8888888888888888,0.8888888888888888
5432,317,83,mid,0.9879518072289156,0.9879518072289156
5433,215,60,tail,1.0,1.0
5434,317,83,mid,0.963855421686747,0.963855421686747
5435,216,60,mid,0.95,0.95
