class_id,train_support,test_support,support_tier,top1_accuracy,recall
5757,538,143,mid,0.9790209790209791,0.9790209790209791
5758,216,60,mid,0.9833333333333333,0.9833333333333333
5759,537,144,mid,0.9513888888888888,0.9513888888888888
5760,216,60,mid,1.0,1.0
5761,216,60,mid,1.0,1.0
5762,543,142,head,0.9507042253521126,0.9507042253521126
5763,542,145,head,0.9586206896551724,0.9586206896551724
5764,540,142,head,0.9084507042253521,0.9084507042253521
5765,542,141,head,0.9361702127659575,0.9361702127659575
5766,543,142,head,0.9788732394366197,0.9788732394366197
5767,539,145,mid,0.9241379310344827,0.9241379310344827
5768,541,144,head,0.9722222222222222,0.9722222222222222
5769,544,140,head,0.9571428571428572,0.9571428571428572
5770,541,145,head,0.9172413793103448,0.9172413793103448
5771,535,140,mid,0.9071428571428571,0.9071428571428571
5772,539,143,mid,0.951048951048951,0.951048951048951
5773,540,142,head,0.9225352112676056,0.9225352112676056
5774,537,141,mid,0.9574468085106383,0.9574468085106383
5775,537,143,mid,0.9370629370629371,0.9370629370629371
5776,542,143,head,0.951048951048951,0.951048951048951
5777,542,141,head,0.9432624113475178,0.9432624113475178
5778,539,144,mid,0.9652777777777778,0.9652777777777778
5779,540,142,head,0.9436619718309859,0.9436619718309859
5780,512,134,mid,0.9925373134328358,0.9925373134328358
5781,538,142,mid,0.9366197183098591,0.9366197183098591
5782,216,60,mid,0.9833333333333333,0.9833333333333333
5783,216,59,mid,0.9661016949152542,0.9661016949152542
5784,539,142,mid,0.9154929577464789,0.9154929577464789
5785,540,142,head,0.9507042253521126,0.9507042253521126
5786,216,60,mid,1.0,1.0
5787,541,141,head,0.950354609929078,0.950354609929078
5788,539,144,mid,0.9652777777777778,0.9652777777777778
5789,542,142,head,0.971830985915493,0.971830985915493
5790,539,141,mid,0.950354609929078,0.950354609929078
5791,216,60,mid,0.95,0.95
5792,537,145,mid,0.9103448275862069,0.9103448275862069
5793,216,60,mid,0.9666666666666667,0.9666666666666667
5794,538,143,mid,0.958041958041958,0.958041958041958
5795,537,143,mid,0.958041958041958,0.958041958041958
5796,216,60,mid,0.9833333333333333,0.9833333333333333
5797,532,139,mid,0.8992805755395683,0.8992805755395683
5798,539,143,mid,0.958041958041958,0.958041958041958
5799,538,140,mid,0.9428571428571428,0.9428571428571428
5800,538,143,mid,0.965034965034965,0.965034965034965
5801,213,60,tail,1.0,1.0
5802,216,60,mid,0.9666666666666667,0.9666666666666667
5803,216,60,mid,0.9833333333333333,0.9833333333333333
5804,216,60,mid,1.0,1.0
5805,216,60,mid,1.0,1.0
5806,536,141,mid,0.9787234042553191,0.9787234042553191
5807,540,141,head,0.9716312056737588,0.9716312056737588
5808,540,142,head,0.9859154929577465,0.9859154929577465
5809,213,60,tail,0.9833333333333333,0.9833333333333333
5810,537,144,mid,0.9930555555555556,0.9930555555555556
5811,539,144,mid,0.9583333333333334,0.9583333333333334
5812,536,140,mid,0.9285714285714286,0.9285714285714286
5813,216,59,mid,1.0,1.0
5814,216,60,mid,0.9833333333333333,0.9833333333333333
5815,539,142,mid,0.9295774647887324,0.9295774647887324
5816,216,60,mid,1.0,1.0
5817,535,143,mid,0.9440559440559441,0.9440559440559441
5818,539,144,mid,0.9652777777777778,0.9652777777777778
5819,216,60,mid,0.9833333333333333,0.9833333333333333
5820,541,141,head,0.9929078014184397,0.9929078014184397
5821,539,144,mid,0.9097222222222222,0.9097222222222222
5822,214,58,tail,1.0,1.0
5823,216,59,mid,1.0,1.0
5824,540,144,head,0.9722222222222222,0.9722222222222222
5825,215,59,tail,1.0,1.0
5826,540,141,head,0.9645390070921985,0.9645390070921985
5827,538,142,mid,0.9859154929577465,0.9859154929577465
5828,540,144,head,0.5486111111111112,0.5486111111111112
5829,539,141,mid,1.0,1.0
5830,541,141,head,0.9432624113475178,0.9432624113475178
5831,535,140,mid,0.8928571428571429,0.8928571428571429
5832,216,60,mid,1.0,1.0
5833,216,59,mid,1.0,1.0
5834,538,143,mid,0.972027972027972,0.972027972027972
5835,216,60,mid,1.0,1.0
5836,540,142,head,0.9295774647887324,0.9295774647887324
5837,216,59,mid,0.9830508474576272,0.9830508474576272
5838,540,142,head,0.971830985915493,0.971830985915493
5839,540,144,head,0.9930555555555556,0.9930555555555556
5840,541,141,head,0.9716312056737588,0.9716312056737588
5841,539,144,mid,0.9652777777777778,0.9652777777777778
5842,542,140,head,0.9642857142857143,0.9642857142857143
5843,216,60,mid,1.0,1.0
5844,543,142,head,0.9647887323943662,0.9647887323943662
5845,542,145,head,0.9517241379310345,0.9517241379310345
5846,538,143,mid,0.958041958041958,0.958041958041958
5847,216,60,mid,0.9666666666666667,0.9666666666666667
5848,214,60,tail,0.9833333333333333,0.9833333333333333
5849,536,143,mid,0.9440559440559441,0.9440559440559441
5850,539,144,mid,0.9930555555555556,0.9930555555555556
5851,216,60,mid,1.0,1.0
5852,540,144,head,0.9305555555555556,0.9305555555555556
5853,537,143,mid,0.986013986013986,0.986013986013986
5854,213,60,tail,0.9666666666666667,0.9666666666666667
5855,216,60,mid,1.0,1.0
5856,214,59,tail,0.8983050847457628,0.8983050847457628
5857,212,60,tail,0.95,0.95
5858,537,143,mid,0.9370629370629371,0.9370629370629371
5859,215,60,tail,0.9333333333333333,0.9333333333333333
5860,543,145,head,0.8896551724137931,0.8896551724137931
5861,216,60,mid,0.9333333333333333,0.9333333333333333
5862,216,59,mid,1.0,1.0
5863,539,142,mid,0.9859154929577465,0.9859154929577465
5864,541,138,head,0.8405797101449275,0.8405797101449275
5865,216,60,mid,0.9666666666666667,0.9666666666666667
5866,216,60,mid,0.95,0.95
5867,214,59,tail,0.9830508474576272,0.9830508474576272
5868,536,143,mid,0.9020979020979021,0.9020979020979021
5869,209,57,tail,0.9649122807017544,0.9649122807017544
5870,213,60,tail,0.9833333333333333,0.9833333333333333
5871,216,59,mid,1.0,1.0
5872,317,82,mid,0.8292682926829268,0.8292682926829268
5873,540,144,head,0.9513888888888888,0.9513888888888888
5874,214,59,tail,0.8983050847457628,0.8983050847457628
5875,540,141,head,0.9148936170212766,0.9148936170212766
5876,216,60,mid,0.9833333333333333,0.9833333333333333
5877,204,55,tail,0.8363636363636363,0.8363636363636363
5878,539,144,mid,0.9722222222222222,0.9722222222222222
5879,540,142,head,0.971830985915493,0.971830985915493
5880,216,60,mid,0.9666666666666667,0.9666666666666667
5881,216,60,mid,0.9333333333333333,0.9333333333333333
5882,538,143,mid,0.9230769230769231,0.9230769230769231
5883,540,143,head,0.9370629370629371,0.9370629370629371
5884,537,142,mid,0.9507042253521126,0.9507042253521126
5885,216,59,mid,1.0,1.0
5886,316,83,mid,0.891566265060241,0.891566265060241
5887,216,60,mid,1.0,1.0
5888,216,60,mid,1.0,1.0
5889,539,141,mid,0.900709219858156,0.900709219858156
5890,219,61,mid,0.9016393442622951,0.9016393442622951
5891,216,60,mid,0.9833333333333333,0.9833333333333333
5892,216,60,mid,1.0,1.0
5893,216,60,mid,0.9166666666666666,0.9166666666666666
5894,543,143,head,0.965034965034965,0.965034965034965
